stationID,longitude,latitude,line
1534,40.66030033,-73.997973,D-N-R
1535,40.66531631,-73.99271416,D-N-R
1536,40.63698433,-73.978499,F-G
1537,40.64313234,-73.979662,F-G
1538,40.64502033,-73.979724,F-G
1539,40.65158333,-73.975679,F-G
1540,40.66073333,-73.979539,F-G
1541,40.66131133,-73.97932,F-G
1542,40.66995488,-73.98913712,D-F-G-N-R
1543,40.66686333,-73.981822,F-G
1544,40.66689333,-73.981258,F-G
1545,40.68615333,-73.974512,A-C
1546,40.68558633,-73.972867,A-C
1547,40.85862233,-73.932838,A
1548,40.86534433,-73.927988,A
1549,40.86536333,-73.926946,A
1550,40.86753233,-73.921307,A
1551,40.86432834,-73.919189,1
1552,40.86454733,-73.918706,1
1553,40.86803133,-73.919285,A
1554,40.86979133,-73.915155,1
1555,40.87430834,-73.909795,1
1556,40.87909133,-73.904538,1
1557,40.88491633,-73.900586,1
1558,40.88968333,-73.897925,1
1559,40.74553153,-73.90324755,7-7 Express
1560,40.74625346,-73.94478843,E-G-M
1561,40.77357901,-73.98251056,1-2
1562,40.77901673,-73.98165269,1-2-3
1563,40.77964368,-73.95539167,4-5-6-6 Express
1564,40.84801722,-73.93931753,A
1565,40.81065733,-73.926839,6-6 Express
1566,40.81011333,-73.925573,6-6 Express
1567,40.81024633,-73.925297,6-6 Express
1568,40.81833933,-73.927226,2-4-5
1569,40.82747147,-73.92625008,4-B-D
1570,40.82747133,-73.925997,4-B-D
1571,40.82786533,-73.925726,4-B-D
1572,40.80749533,-73.919391,6
1573,40.80523834,-73.91393,6
1574,40.81603333,-73.918064,2-5
1575,40.81624133,-73.917468,2-5
1576,40.82755033,-73.923987,4-B-D
1577,40.80803033,-73.90772,6
1578,40.81202733,-73.903869,6
1579,40.82751029,-73.92640902,4-B-D
1580,40.81616333,-73.907953,2-5
1581,40.81686233,-73.907436,2-5
1582,40.81968433,-73.901348,2-5
1583,40.81638633,-73.895937,6
1584,40.82411833,-73.892731,2-5
1585,40.82069434,-73.890947,6-6 Express
1586,40.82737333,-73.886076,6
1587,40.83570233,-73.921455,4
1588,40.83561233,-73.92122,4
1589,40.85290482,-73.82692837,6-6 Express
1590,40.83446634,-73.918155,B-D
1591,40.83460933,-73.917245,B-D
1592,40.84011133,-73.917635,4
1593,40.83904633,-73.913857,B-D
1594,40.83975133,-73.912743,B-D
1595,40.84435833,-73.914581,4
1596,40.84494733,-73.910844,B-D
1597,40.84653033,-73.909712,B-D
1598,40.83003333,-73.892036,2-5
1599,40.85318133,-73.907782,4
1600,40.84994133,-73.905293,B-D
1601,40.85367034,-73.907654,4
1602,40.85610133,-73.901084,B-D
1603,40.85603433,-73.900481,B-D
1604,40.85842933,-73.903734,4
1605,40.86157433,-73.89794,B-D
1606,40.86291633,-73.901144,4
1607,40.86284233,-73.900863,4
1608,40.86761633,-73.897458,4
1609,40.86636433,-73.894506,B-D
1610,40.85873757,-73.85554678,5
1611,40.86806333,-73.893204,B-D
1612,40.83738933,-73.887964,2-5
1613,40.83734633,-73.887294,2-5
1614,40.84062833,-73.879822,2-5
1615,40.84107833,-73.879397,2-5
1616,40.83149333,-73.867328,6
1617,40.83311333,-73.860948,6-6 Express
1618,40.84909833,-73.868411,2-5
1619,40.85641033,-73.867517,2-5
1620,40.85456502,-73.86021201,5
1621,40.87219838,-73.88778828,B-D
1622,40.87213533,-73.887459,B-D
1623,40.87489733,-73.879339,D
1624,40.87407333,-73.87747,D
1625,40.87921033,-73.885134,4
1626,40.88004033,-73.884155,4
1627,40.88030033,-73.884226,4
1628,40.88681933,-73.878376,4
1629,40.86533933,-73.867197,2-5
1630,40.87776958,-73.86610919,2-5
1631,40.88348734,-73.862709,2-5
1632,40.8792866,-73.83771088,5
1633,40.88790833,-73.860566,2-5
1634,40.83666833,-73.846627,6-6 Express
1635,40.84355633,-73.836531,6-6 Express
1636,40.84697933,-73.832554,6-6 Express
1637,40.85295707,-73.82718721,6-6 Express
1638,40.89354733,-73.857462,2-5
1639,40.89861633,-73.85436,2-5
1640,40.90351233,-73.850147,2
1641,40.81624367,-73.91759412,2-5
1642,40.82237793,-73.89672609,2-5
1643,40.82233417,-73.89664363,2-5
1644,40.8411981,-73.87348902,2-5
1645,40.82743826,-73.92645552,4-B-D
1646,40.74720933,-73.892119,7-E-F-M-R
1647,40.74659233,-73.891463,7-E-F-M-R
1648,40.73603733,-73.877096,E-M-R
1649,40.73747633,-73.877412,E-M-R
1650,40.69382698,-73.99010827,2-3-4-5-N-R
1651,40.69303613,-73.98734288,A-C-F
1652,40.69228482,-73.98723441,A-C-F
1653,40.68986946,-73.98124736,B-D-N-Q-R
1654,40.68374128,-73.97852155,2-3-4-5-B-D-N-Q-R
1655,40.67518096,-73.97092693,2-3-4
1656,40.67514328,-73.97103425,2-3-4
1657,40.68811143,-73.98051742,2-3-4-5
1658,40.68808294,-73.98028292,2-3-4-5
1659,40.74281733,-73.953938,7-7 Express
1660,40.74260833,-73.952802,7-7 Express
1661,40.7424052,-73.94811046,7-7 Express
1662,40.74242213,-73.94819531,7-7 Express
1663,40.74452233,-73.948402,G
1664,40.74622433,-73.943985,E-G-M
1665,40.74771233,-73.944632,E-G-M
1666,40.74477733,-73.931781,7
1667,40.74449633,-73.930943,7
1668,40.74846633,-73.938244,E-M-R
1669,40.74985733,-73.936198,E-M-R
1670,40.75291533,-73.932918,N-Q
1671,40.75638433,-73.929744,N-Q
1672,40.76188033,-73.925638,N-Q
1673,40.76221733,-73.925349,N-Q
1674,40.74370034,-73.924107,7
1675,40.74329133,-73.918853,7
1676,40.74324933,-73.9185,7
1677,40.74383047,-73.91305511,7
1678,40.75668933,-73.920648,E-M-R
1679,40.75663733,-73.914378,E-M-R
1680,40.74569239,-73.90323356,7-7 Express
1681,40.74615234,-73.896407,7
1682,40.74913833,-73.897458,E-M-R
1683,40.76676634,-73.921628,N-Q
1684,40.76709034,-73.921377,N-Q
1685,40.77015533,-73.917764,N-Q
1686,40.77492833,-73.91235,N-Q
1687,40.77504633,-73.911848,N-Q
1688,40.75901633,-73.953505,F
1689,40.77366933,-73.982015,1-2
1690,40.77860133,-73.981907,1-2-3
1691,40.77621733,-73.976247,A-C-B
1692,40.78363233,-73.979909,1-2
1693,40.78835733,-73.976858,1-2
1694,40.78829133,-73.976177,1-2
