OBJECTID,Shape,,NAME,ADDRESS,TYPE,URL
143,40.71125456,-73.85443338,McDonald's,98-01 METROPOLITAN AVE,Fee-based,http://www.mcdonalds.com/wireless.html
144,40.7274839,-73.81239062,McDonald's,72-69 KISSENA BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
145,40.70689005,-73.80262356,McDonald's,87-88 PARSON BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
146,40.70369337,-73.80001098,McDonald's,159-01 JAMAICA AVENUE,Fee-based,http://www.mcdonalds.com/wireless.html
147,40.72961108,-73.86301654,McDonald's,95-05A 63RD DR,Fee-based,http://www.mcdonalds.com/wireless.html
148,40.73376073,-73.86974468,McDonald's,91-19 QUEEN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
149,40.73694261,-73.86558873,McDonald's,95-05 57TH AVE,Fee-based,http://www.mcdonalds.com/wireless.html
150,40.68656397,-73.82398279,McDonald's,119-05 LIBERTY AVE,Fee-based,http://www.mcdonalds.com/wireless.html
151,40.74955183,-73.86310547,McDonald's,40-12 NATIONAL ST,Fee-based,http://www.mcdonalds.com/wireless.html
152,40.71357047,-73.78116982,McDonald's,181-25 HILLSIDE AVENUE,Fee-based,http://www.mcdonalds.com/wireless.html
153,40.73813354,-73.88291444,McDonald's,80-03 QUEENS BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
154,40.6861616,-73.79329203,McDonald's,114-01 SUTPHIN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
155,40.74807312,-73.88372706,McDonald's,37-59 82ND ST,Fee-based,http://www.mcdonalds.com/wireless.html
156,40.74723378,-73.88988189,McDonald's,75-11 ROOSEVELT AVE,Fee-based,http://www.mcdonalds.com/wireless.html
157,40.75111635,-73.87022325,McDonald's,37-19 JUNCTION BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
158,40.76381426,-73.80951586,McDonald's,155-14 ROOSEVELT AVE,Fee-based,http://www.mcdonalds.com/wireless.html
159,40.71330938,-73.90971968,McDonald's,54-29 METROPOLITAN AVE,Fee-based,http://www.mcdonalds.com/wireless.html
160,40.72628145,-73.90669314,McDonald's,59-60 55TH ROAD,Fee-based,http://www.mcdonalds.com/wireless.html
161,40.76965478,-73.83417509,McDonald's,3001 STRATTON ST,Fee-based,http://www.mcdonalds.com/wireless.html
162,40.75788746,-73.77976447,McDonald's,203-11 NORTHERN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
163,40.76435211,-73.88093703,McDonald's,88-05 ASTORIA BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
164,40.65780277,-73.83994589,McDonald's,159-40 CROSS BAY BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
165,40.75339545,-73.90834794,McDonald's,51-35 NORTHERN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
166,40.69944621,-73.91053547,McDonald's,54-04 MYRTLE AVE,Fee-based,http://www.mcdonalds.com/wireless.html
167,40.74171124,-73.91963041,McDonald's,45-06 GREENPOINT AVE,Fee-based,http://www.mcdonalds.com/wireless.html
168,40.72921946,-73.74438851,McDonald's,88-14 SPRINGFIELD BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
169,40.7594441,-73.918259,McDonald's,31-67 STEINWAY ST,Fee-based,http://www.mcdonalds.com/wireless.html
756,40.69870546,-73.95277515,McDonald's,35-40 Nostrand Ave,Fee-based,http://www.mcdonalds.com/wireless.html
832,40.75031903,-73.9911106,McDonald's,West 33rd Street & 7th Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
856,40.7529525,-73.98033855,McDonald's,18 East 42nd Street,Fee-based,http://www.mcdonalds.com/wireless.html
857,40.7481603,-73.97379337,McDonald's,729 2nd Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
858,40.75527755,-73.98412039,McDonald's,1109 6th Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
859,40.84276819,-73.93890064,McDonald's,4040 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
860,40.79381705,-73.94265459,McDonald's,1997 3rd Ave,Fee-based,http://www.mcdonalds.com/wireless.html
975,40.69645324,-73.98348869,McDonald's,169 Tillary St,Fee-based,http://www.mcdonalds.com/wireless.html
976,40.72876902,-74.00505403,McDonald's,208 Varick Street,Fee-based,http://www.mcdonalds.com/wireless.html
977,40.77037036,-73.86404381,McDonald's,US Air East End Terminal - LaGuardia,Fee-based,http://www.mcdonalds.com/wireless.html
978,40.64947139,-73.78283331,McDonald's,British Air Terminal - JFK,Fee-based,http://www.mcdonalds.com/wireless.html
979,40.84667132,-73.89342598,McDonald's,599 E Tremont Ave,Fee-based,http://www.mcdonalds.com/wireless.html
980,40.856437,-73.88120093,McDonald's,2505 Southern Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
981,40.86160165,-73.89245061,McDonald's,372 E Fordham Rd,Fee-based,http://www.mcdonalds.com/wireless.html
982,40.86249551,-73.90287429,McDonald's,36 W Fordham Rd,Fee-based,http://www.mcdonalds.com/wireless.html
983,40.81693256,-73.8925699,McDonald's,875 Garrison Ave,Fee-based,http://www.mcdonalds.com/wireless.html
984,40.65612904,-73.93056203,McDonald's,701 Utica Ave,Fee-based,http://www.mcdonalds.com/wireless.html
985,40.65269581,-73.92320264,McDonald's,5707-13 Church Ave,Fee-based,http://www.mcdonalds.com/wireless.html
986,40.67013921,-73.86034203,McDonald's,2797 Linden Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
987,40.66926078,-73.93073292,McDonald's,1133 Eastern Parkway,Fee-based,http://www.mcdonalds.com/wireless.html
988,40.68459193,-73.9768934,McDonald's,Atlantic Terminal,Fee-based,http://www.mcdonalds.com/wireless.html
989,40.64458413,-73.9877106,McDonald's,3525 Fort Hamilton Parkway,Fee-based,http://www.mcdonalds.com/wireless.html
990,40.63210251,-73.92864709,McDonald's,1656 Utica Ave,Fee-based,http://www.mcdonalds.com/wireless.html
991,40.61504725,-73.92896363,McDonald's,2240-50 Flatbush Ave.,Fee-based,http://www.mcdonalds.com/wireless.html
992,40.63307401,-73.88990218,McDonald's,2028 Rockaway Parkway,Fee-based,http://www.mcdonalds.com/wireless.html
993,40.76033238,-73.8279723,McDonald's,136-61 Roosevelt Ave,Fee-based,http://www.mcdonalds.com/wireless.html
994,40.68015651,-73.77726788,McDonald's,166-01 Baisley Boulevard,Fee-based,http://www.mcdonalds.com/wireless.html
995,40.74367844,-73.92692829,McDonald's,33-80 Queens Blvd,Fee-based,http://www.mcdonalds.com/wireless.html
996,40.72678302,-73.89426922,McDonald's,69-35 Grand Ave,Fee-based,http://www.mcdonalds.com/wireless.html
997,40.75315987,-73.97450893,McDonald's,451 Lexington Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
998,40.75578588,-73.96432124,McDonald's,966 1st Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
999,40.83435379,-73.94422554,McDonald's,3794 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
1000,40.62549003,-74.14934138,McDonald's,1815 Forest Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1016,40.69662245,-73.74311786,McDonald's,216-07 LINDEN BLVD,Fee-based,http://www.mcdonalds.com/wireless.html
1017,40.76061869,-73.92615566,McDonald's,32-55 31ST STREET,Fee-based,http://www.mcdonalds.com/wireless.html
1018,40.77526038,-73.91226416,McDonald's,22 50 31ST ST,Fee-based,http://www.mcdonalds.com/wireless.html
1019,40.76638289,-73.93097229,McDonald's,31-46 21ST ST,Fee-based,http://www.mcdonalds.com/wireless.html
1029,40.62930724,-74.11586067,McDonald's,803 Forest Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1030,40.55944635,-74.16913235,McDonald's,3267 Richmond Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1031,40.62994413,-74.07634051,McDonald's,501 Bay St,Fee-based,http://www.mcdonalds.com/wireless.html
1032,40.57643194,-74.1667743,McDonald's,2795 Richmond Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1117,40.66916184,-73.91227784,McDonald's,1642 Pitkin Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1118,40.61296322,-73.98280594,McDonald's,6620 Bay Pky,Fee-based,http://www.mcdonalds.com/wireless.html
1119,40.59807739,-73.96146085,McDonald's,2410 Coney Island Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1120,40.67352529,-73.99914365,McDonald's,357 Hamilton Avenue,Fee-based,http://www.mcdonalds.com/wireless.html
1121,40.69141318,-73.99186452,McDonald's,82 Court St,Fee-based,http://www.mcdonalds.com/wireless.html
1122,40.68065139,-73.95031687,McDonald's,1275 Fulton Street,Fee-based,http://www.mcdonalds.com/wireless.html
1123,40.61916083,-73.98974664,McDonald's,6419 18th Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1124,40.63826743,-73.94855866,McDonald's,1930 Nostrand Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1125,40.69331137,-73.9645234,McDonald's,516A Myrtle Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1126,40.69076359,-73.98624609,McDonald's,420 Fulton St,Fee-based,http://www.mcdonalds.com/wireless.html
1127,40.68135252,-73.96698001,McDonald's,840 Atlantic Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1128,40.68911549,-73.9218773,McDonald's,1380 Broadway,Fee-based,http://www.mcdonalds.com/wireless.html
1137,40.74059696,-73.98807918,McDonald's,22 E 23rd St Flatiron,Fee-based,http://www.mcdonalds.com/wireless.html
1175,40.81614949,-73.91671118,McDonald's,2870 3rd Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1176,40.84176233,-73.90473415,McDonald's,1625 Webster Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1177,40.82839525,-73.87800625,McDonald's,1540 Westchester Ave,Fee-based,http://www.mcdonalds.com/wireless.html
1178,40.64467081,-73.92164917,McDonald's,5804 Clarendon Rd,Fee-based,http://www.mcdonalds.com/wireless.html
1179,40.65472113,-73.96162992,McDonald's,180 Parkside Ave,Fee-based,http://www.mcdonalds.com/wireless.html
429,40.79210575,-73.94536207,MediaNoche,161 East 106th Street,Free,http://www.medianoche.us/
667,40.76824423,-73.98095635,Merchants Gate,Central Park - SW Corner,Free, 
759,40.77942605,-73.96343466,Metropolitan Museum of Art,1000 Fifth Avenue,Fee-based,http://www.metmuseum.org/
548,40.76513292,-73.97563986,Mickey Mantle's,42 Central Park South,Fee-based, 
549,40.76513292,-73.97563986,Mickey Mantle's,42 Central Park South,Fee-based, 
468,40.60766712,-73.9616192,MishMash,1103 Kings Highway,Free,http://www.mishmashgourmet.com
502,40.71928919,-73.84246057,Modus Vivendi,72-07 Austin Street,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Modus_Vivendi_Tea_and_Cafe_Glry_Forest_HillsQueens_NY_14949.aspx
404,40.70837513,-74.01407693,Morans,103 Washington Street,Free,http://www.moransnyc.com
550,40.76644611,-73.98220606,Morton Williams Cafe,255 West 57th Street,Fee-based, 
1253,40.73975266,-74.00252381,MTA 14th St station (A)(C)(E),14th St & 8th Av,Free,http://www.mta.info
1254,40.73736091,-73.99683994,MTA 14th St station (F)(M),14th St & 6th Av,Free,http://www.mta.info
1255,40.74529418,-73.99848652,MTA 23rd St station (C)(E),23rd St & 8th Av,Free,http://www.mta.info
507,40.72144745,-73.85568821,Munch Cafe' & Grill,7160 Yellowstone Blvd,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Munch_Cafe_and_Grill_Forest_HillsQueens_NY_15107.aspx
906,40.72553776,-73.98281621,My Little Wi-Fi,144 East 7th St,Free, 
469,40.66543357,-73.98306206,Naidre's,384 Seventh Avenue,Free,http://www.naidres.com/
893,40.68409223,-73.99964771,Naidre's,502 Henry Street,Free,http://www.naidres.com/
651,40.73228763,-73.98548719,Net Café,246 East 14th Street,Free,http://www.ncafeny.com/
1245,40.72825798,-74.00479306,New Work City,200 Varick Street Room 578,Free,http://www.nwcny.com/
551,40.7623764,-73.98793234,New World Grill,329 West 49th Street,Fee-based, 
552,40.75659046,-73.97200098,New York Benjamin,125 East 50th Street,Fee-based, 
553,40.74920405,-73.98519902,New York Gift Mart,7 W 34th Street,Fee-based, 
122,40.6851255,-73.99123106,New York Perks,193 Smith Street,Fee-based, 
554,40.71510691,-74.00118679,New York State Supreme Court,80 Center St.,Fee-based, 
555,40.71429171,-74.00156193,New York State Supreme Court,60 Center St.,Fee-based, 
556,40.73415527,-73.99224215,News Cafe,107 University Place,Fee-based, 
343,40.7051206,-74.01414559,NewsCafe on Broadway,11 Broadway,Free,http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-NewsCafe-on-Broadway-1020785.htm
557,40.7583542,-73.97970315,Nintendo World Store,10 Rockefeller Plaza,Fee-based, 
838,40.70748952,-74.01250137,NuVision,71 Broadway,Fee-based, 
861,40.71682372,-74.00143423,NY State Supreme Court,111 Centre St.,Fee-based, 
862,40.71711243,-74.00746156,NY State Supreme Court,71 Thomas St.,Fee-based, 
289,40.8029815,-73.95353121,NYC Public Library - 115th Street,203 West 115th Street,Free,http://www.nypl.org/branch/services/wifi.html
290,40.80301912,-73.93484613,NYC Public Library - 125th Street,224 East 125th Street,Free,http://www.nypl.org/branch/services/wifi.html
1221,40.76223214,-73.96932375,NYC Public Library - 58th  St  Branch,127 E 58 Street,Free,http://www.nypl.org/branch/services/wifi.html
288,40.76491431,-73.95955032,NYC Public Library - 67th Street Branch,328 East 67th Street,Free,http://www.nypl.org/branch/services/wifi.html
1222,40.78595766,-73.95180829,NYC Public Library - 96th  St  Branch,112 E 96 Street,Free,http://www.nypl.org/branch/services/wifi.html
291,40.79418564,-73.94346472,NYC Public Library - Aguilar,174 East 110th Street,Free,http://www.nypl.org/branch/services/wifi.html
909,40.86680476,-73.86322248,NYC Public Library - Allerton Branch,2740 Barnes Avenue,Free,http://www.nypl.org/branch/services/wifi.html
1234,40.74046668,-73.99335264,NYC Public Library - Andrew Heiskell Braille & Talking Book Library,40 West 20th Street,Free,http://talkingbooks.nypl.org/
170,40.87027917,-73.82861632,NYC Public Library - Baychester Branch,2049 Asch Loop North,Free,http://www.nypl.org/branch/services/wifi.html
910,40.85434724,-73.88788943,NYC Public Library - Belmont Branch,610 E. 186th Street,Free,http://www.nypl.org/branch/services/wifi.html
1224,40.79591937,-73.96784906,NYC Public Library - Bloomingdale Branch,150 West 100th Street,Free,http://www.nypl.org/branch/services/wifi.html
911,40.86300214,-73.89456,NYC Public Library - Bronx Library Center,310 East Kingsbridge Road,Free,http://www.nypl.org/branch/services/wifi.html
171,40.82661068,-73.85018108,NYC Public Library - Castel Hill Branch,947 Castle Hill Avenue,Free,http://www.nypl.org/branch/services/wifi.html
292,40.71333375,-73.99649022,NYC Public Library - Chatham Square,33 East Broadway,Free,http://www.nypl.org/branch/services/wifi.html
172,40.84769385,-73.78636716,NYC Public Library - City Island Branch,320 City Island Avenue,Free,http://www.nypl.org/branch/services/wifi.html
173,40.82999431,-73.8750199,NYC Public Library - Clason's Point Branch,1215 Morrison Avenue,Free,http://www.nypl.org/branch/services/wifi.html
923,40.76493495,-73.99122082,NYC Public Library - Columbus Branch,742 10th Avenue,Free,http://www.nypl.org/branch/services/wifi.html
293,40.81475074,-73.94121462,NYC Public Library - Countee Cullen,104 West 136th Street,Free,http://www.nypl.org/branch/services/wifi.html
514,40.59039168,-74.10113898,NYC Public Library - Dongan Hills Branch,1617 Richmond Road,Free,http://www.nypl.org/branch/services/wifi.html
174,40.87014049,-73.84506443,NYC Public Library - Eastchester Branch,1385 East Gun Hill Road,Free,http://www.nypl.org/branch/services/wifi.html
175,40.88889472,-73.8408362,NYC Public Library - Edenwald Branch,1255 East 233rd Street,Free,http://www.nypl.org/branch/services/wifi.html
